log_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,event_type,action,user,bytes_sent,bytes_received,duration_ms,failed_login_count_5m,unique_ports_contacted_1m,label
17dbbea1-cc67-429d-80b1-f1d99ad87e97,2026-07-22T14:27:47.570063,10.0.57.7,67.129.243.108,49622,443,TCP,network,allow,anthonyharding,18070,3048,2423,0,2,normal
16283145-c03b-4126-a5ab-fea1c7240e97,2026-07-22T14:27:50.570063,10.0.16.8,179.1.130.250,7164,80,TCP,http,logout,sarahhill,18590,6715,2937,0,3,normal
572e1236-e952-425f-8b9a-0cdb41f2c432,2026-07-22T14:27:53.570063,10.0.214.57,176.31.246.232,30463,5432,UDP,auth,allow,jeffreysmith,11349,9305,641,0,1,normal
331e2650-de3c-4743-b9bf-a87d2ed32b1f,2026-07-22T14:27:56.570063,10.0.172.27,211.191.32.99,7102,3306,TCP,file_access,login_success,fmccullough,8867,1623,2993,0,2,normal
f447b927-f99d-4a9a-bbd0-f60aac4c7611,2026-07-22T14:27:59.570063,10.0.63.250,95.107.53.22,61467,3306,TCP,http,login_success,jonesluis,12050,19118,792,0,3,normal
1c2de046-8b8c-4c0e-ac66-9489b15c06df,2026-07-22T14:28:02.570063,10.0.35.12,148.133.7.148,44360,80,UDP,auth,allow,anthonyharding,12655,9308,1862,0,3,normal
2837ede2-feaa-49c4-91aa-bab4e00a74cc,2026-07-22T14:28:05.570063,10.0.186.42,196.152.86.48,25284,443,TCP,file_access,logout,jonathanromero,5807,17702,2991,0,1,normal
eadadec2-331f-4aed-8e1c-b64c03b80d96,2026-07-22T14:28:08.570063,10.0.83.119,171.21.54.62,25891,443,ICMP,http,allow,daniel26,2032,7705,3371,0,1,normal
8a793195-f94f-4ea0-a409-b071d9798972,2026-07-22T14:28:11.570063,10.0.161.103,20.84.102.126,18570,22,TCP,http,logout,daniel26,7167,16558,1625,0,3,normal
951dcc7a-249e-4643-b7e8-6e2e53cecfde,2026-07-22T14:28:14.570063,10.0.234.37,60.192.0.78,18383,80,TCP,http,logout,bethany58,19355,14238,3682,0,3,normal
a7b40c90-a302-4e1a-b7fa-03cad7b5c27e,2026-07-22T14:28:17.570063,10.0.204.93,205.67.110.58,15397,80,ICMP,dns,allow,megancarter,3792,5208,2575,0,1,normal
233a8ae9-41dc-4175-82a7-3e714a06d6f7,2026-07-22T14:28:20.570063,10.0.216.153,139.47.28.183,5187,3306,UDP,http,login_success,jenna19,8438,18328,3530,0,1,normal
e936256b-9491-4e70-a14b-cbbe3ec1d089,2026-07-22T14:28:23.570063,10.0.58.175,36.21.161.120,59009,5432,UDP,file_access,allow,madison21,14446,5382,1863,0,1,normal
441b502a-50a8-4dc5-b71d-76ebeb8b50bd,2026-07-22T14:28:26.570063,10.0.134.249,199.179.45.255,33830,53,TCP,http,allow,bradley78,16835,6717,631,0,2,normal
a8f2db2a-2947-4bb2-a016-74a52cc0f8aa,2026-07-22T14:28:29.570063,10.0.82.139,151.132.208.99,63512,53,ICMP,auth,logout,daniel26,16210,838,463,0,2,normal
6e1f2e21-9b8d-496d-be28-9c40f458e796,2026-07-22T14:28:32.570063,10.0.157.62,181.29.15.241,4820,80,ICMP,auth,allow,pweaver,2467,17655,3141,0,1,normal
70ff0171-34b0-493f-a567-44fff1b52862,2026-07-22T14:28:35.570063,10.0.65.169,193.45.110.135,32172,5432,TCP,file_access,logout,fmccullough,14065,7140,3809,0,3,normal
a2e39423-77e7-4d5e-a3b4-4ed3211a72ad,2026-07-22T14:28:38.570063,10.0.102.183,28.88.239.41,21452,3306,ICMP,file_access,login_success,jenna19,14994,4165,1020,0,1,normal
72bfb104-537d-4887-8c09-158ee321b7f1,2026-07-22T14:28:41.570063,10.0.32.87,161.156.148.210,2402,5432,ICMP,network,logout,haguilar,435,2526,2904,0,3,normal
6a2fd436-3b7a-4b30-8e09-3fbc7af0fdff,2026-07-22T14:28:44.570063,10.0.30.59,200.186.16.26,5441,22,UDP,auth,logout,barrsarah,9325,16106,882,0,3,normal
2a27fb0b-4c21-4f5a-9a77-5b682c90b926,2026-07-22T14:28:47.570063,10.0.67.186,193.50.192.130,62333,5432,ICMP,dns,allow,gclark,13538,6439,391,0,1,normal
c5d7e25d-3390-4a07-bf78-d0eae5c18497,2026-07-22T14:28:50.570063,10.0.220.91,149.93.154.150,28783,3306,UDP,auth,logout,anthonyharding,2186,13393,2987,0,2,normal
8c32c2da-4f42-4ba8-9524-a9d501c06f68,2026-07-22T14:28:53.570063,10.0.55.64,206.101.120.90,13580,80,ICMP,dns,allow,jeffreysmith,6212,9327,1899,0,1,normal
e327bb50-d437-4ca1-a00e-3ed78063f8d7,2026-07-22T14:28:56.570063,10.0.38.114,93.162.133.143,53978,53,ICMP,auth,allow,zachary94,683,3256,3799,0,1,normal
80699861-3fa2-4a70-91a6-5164bd2f8a70,2026-07-22T14:28:59.570063,10.0.85.105,217.177.237.195,32850,3306,TCP,dns,allow,lynnwilliams,12618,270,1604,0,2,normal
c589b24a-bd87-4a2e-80df-e93ba775c3de,2026-07-22T14:29:02.570063,10.0.232.74,197.161.207.175,28746,8080,ICMP,http,logout,pweaver,5272,6422,1220,0,1,normal
